POINT_X,POINT_Y
951614.11270600000,-1561490.30357000000
216729.22191300000,-1045363.78605000000
-256409.18487700000,-901330.71612800000
1898443.58050000000,-3527.12099139000
-1004078.69306000000,-438159.68949600000
-1718892.43663000000,586653.66518600000
1889772.25173000000,-609062.61073300000
1898523.70098000000,-265506.92284900000
2449529.74489000000,451982.27367000000
-1838646.01673000000,205527.50348300000
2058061.91219000000,-166335.94083300000
-1648806.83058000000,499068.26329600000
-1878441.51068000000,-852084.84262700000
473003.22229700000,-650500.99620300000
1892686.56116000000,-150880.81505700000
1334226.57188000000,-478046.08269300000
261690.25317100000,409479.25064800000
1380388.33782000000,-513762.65704700000
-1837833.67732000000,194107.54905900000
1617985.95303000000,-577579.55765900000
-1723121.45562000000,-599732.02847500000
2007806.31886000000,103659.21461200000
2436324.66416000000,414444.53455900000
1455563.48176000000,-1093445.64811000000
2070600.93730000000,-415715.20908600000
576913.27328200000,-646114.97624100000
1090494.71234000000,-419637.17619400000
-1800112.37244000000,472599.10792500000
-1458117.12981000000,-474057.88198600000
899618.97722000000,-178666.89239900000
1132359.05242000000,62347.84181070000
1876600.75033000000,-763262.17013700000
2149327.82485000000,-126651.85824900000
1117107.77698000000,-1542567.28495000000
2105606.57235000000,268591.38104100000
244393.12537700000,-1642553.01752000000
1930356.44023000000,-744273.15282600000
2343574.55545000000,378535.39273000000
1408719.67479000000,-110422.39922300000
1080231.06089000000,-1549781.06333000000
-1897634.31802000000,-46135.87280250000
-1039748.93330000000,-1349655.32628000000
1258597.80800000000,-30914.27076650000
1497046.50985000000,-234175.46321100000
-1727221.53199000000,-643863.81398900000
-321748.96960900000,-926154.67881900000
1778845.75709000000,-441873.38358700000
2097997.45698000000,275505.42632400000
-1574791.98174000000,-1171773.48205000000
2109331.48687000000,33882.20505630000
-1622807.83152000000,646349.83906000000
1632760.95021000000,-263221.70771600000
2309517.90579000000,3974.85616199000
-317692.77533000000,-630620.40901700000
704300.41553900000,-102271.27510500000
-1535469.60420000000,461678.41361700000
-1032423.75999000000,-1409225.31407000000
1905156.21912000000,-281418.01630500000
1941181.29369000000,-384973.72681300000
1617956.41860000000,-576017.08684500000
-558628.34081600000,-539809.02447800000
1817665.90431000000,-1595036.44145000000
1763803.48992000000,-387685.44542000000
2069575.40054000000,-280367.92699800000
943895.07298600000,29952.09001080000
2149413.75804000000,-36994.91834380000
-1719900.13412000000,-370444.46143600000
-1553144.40679000000,519985.81016600000
764933.40600300000,-1159358.69777000000
-975760.54718100000,-1441394.61186000000
1594531.76975000000,-852220.66493200000
1282563.15284000000,-458269.86397100000
-563398.23008000000,-955847.85643000000
-1351420.46969000000,478876.64604900000
1171872.22700000000,-891968.32858000000
-1848868.43666000000,-491045.12608500000
-773796.45384500000,394394.12886400000
-1644850.30181000000,545242.51489300000
2149830.57979000000,-297606.51075200000
454934.23874800000,-1394989.04199000000
1966606.27844000000,-807152.95076100000
316443.16233200000,212128.87699500000
-1673390.44624000000,-1025960.77509000000
-1752848.95662000000,479821.42234400000
966305.16087800000,-262487.48472300000
689828.60447800000,-1635755.79416000000
1556528.60820000000,-945741.53398400000
1195104.73713000000,-47527.06638450000
-1726630.58882000000,-627863.71441100000
-966028.17343200000,-529615.35577900000
2066382.40389000000,347013.05598200000
1943002.44773000000,-243910.11122500000
934652.39821900000,-398686.42052400000
949045.11658100000,18107.79910440000
245088.96765900000,215447.44649300000
-1733304.19083000000,-471005.79012200000
-717008.59141700000,-13379.97143980000
1442038.82337000000,-371078.82808400000
260471.77043400000,-459618.71007000000
-439536.01859700000,-485825.83316500000
1696072.07050000000,-228540.15005800000
-817542.08958400000,-1210895.63727000000
1914717.74492000000,149232.52713100000
-1692706.98984000000,-729346.36342100000
270085.97954400000,-1351218.47527000000
-1937290.50866000000,-595280.90082700000
2442384.40848000000,423185.66827200000
-435070.49083900000,-501865.28702900000
2010024.10579000000,-658065.36882800000
-1675169.83471000000,-1022127.05849000000
-1890542.76210000000,183031.08710500000
-1835489.16451000000,215637.07077900000
-478912.24191500000,-495645.04262100000
-1674641.39794000000,490763.34359100000
